No,Ref,V,BV,UB
4101,240,19.964,1.126,
4189,240,19.019,1.084,
4198,240,17.535,0.963,0.61
4204,240,19.078,1.062,
4219,240,19.483,1.323,
4222,240,19.26,1.256,
4250,240,18.876,0.741,
4260,240,18.158,1.018,
4279,240,17.753,1.132,
4284,240,18.045,1.082,
4324,240,19.429,1.132,
4352,240,18.822,0.989,
4364,240,18.543,1.047,
4381,240,17.076,0.863,0.541
4401,240,17.932,1.018,
4431,240,17.094,0.609,-0.057
4435,240,19.046,1.36,
4441,240,18.197,1.174,
4464,240,17.919,1.045,
4496,240,18.588,0.644,
4498,240,17.092,0.894,0.616
4532,240,17.305,0.921,0.621
4538,240,17.571,0.911,0.413
4539,240,17.004,0.895,0.612
4544,240,17.672,0.975,
4571,240,18.481,1.25,
4581,240,17.716,1.154,
4582,240,17.884,0.672,0.127
4584,240,16.976,0.841,0.46
4585,240,17.958,1.119,
4593,240,16.954,0.867,0.344
4627,240,19.18,0.629,
4649,240,15.131,0.686,0.106
4650,240,15.228,0.755,0.31
4665,240,15.007,0.595,0.061
4708,240,18.871,1.272,
5044,240,14.549,0.74,0.114
5046,240,14.424,0.814,0.308
5048,240,14.951,0.706,0.149
5049,240,12.006,0.309,0.076
5050,240,14.934,0.696,0.135
5051,240,12.807,0.67,0.134
5052,240,14.477,1.05,0.825
5053,240,14.988,0.843,0.251
5060,240,13.551,0.71,0.221
5095,240,15.044,0.804,0.35
5100,240,19.502,0.448,
5107,240,15.247,0.654,0.108
5134,240,14.947,0.704,0.154
5159,240,13.308,0.513,-0.02
5165,240,14.032,0.884,0.6
5172,240,15.015,0.66,0.102
5180,240,14.8,1.032,0.768
5186,240,14.959,0.714,0.22
5207,240,14.974,0.68,0.147
5210,240,15.026,0.725,0.171
5212,240,12.93,1.198,1.176
5213,240,12.842,0.641,0.028
5214,240,12.997,0.775,0.296
5215,240,13.41,1.165,1.015
5216,240,14.628,0.818,0.254
5217,240,12.456,1.178,1.096
5218,240,14.758,0.671,0.026
5219,240,15.122,0.684,0.06
5221,240,15.285,0.509,-0.061
5222,240,15.09,0.52,
5223,240,14.974,0.57,-0.029
6493,240,15.089,0.779,
6494,240,15.563,0.594,-0.038
6500,240,15.426,0.696,0.158
6503,240,15.984,0.792,0.323
6506,240,15.654,0.675,0.143
6507,240,15.683,0.569,-0.082
6513,240,15.528,0.628,-0.025
6515,240,14.814,1.005,0.766
6524,240,15.469,0.736,0.215
6532,240,15.72,0.654,0.03
6533,240,15.706,0.815,0.289
6619,240,15.68,0.908,0.504
6620,240,15.18,0.933,0.451
6622,240,15.319,0.672,0.111
6627,240,15.78,0.727,0.142
6677,240,15.476,0.673,0.132
6678,240,15.765,0.653,0.053
6679,240,15.323,0.673,0.135
6688,240,14.967,1.017,0.682
6689,240,16.159,0.577,-0.015
6690,240,15.875,0.697,0.194
6691,240,15.429,0.839,0.418
6692,240,15.455,0.707,0.121
6694,240,15.14,0.907,0.478
6702,240,16.016,0.659,0.11
6703,240,15.804,0.685,0.139
6704,240,16.013,0.736,0.178
6779,240,15.453,0.686,0.106
6781,240,14.966,1.031,0.69
6782,240,14.482,0.546,-0.016
6783,240,15.056,0.675,0.191
6826,240,15.82,0.856,0.473
6973,240,15.718,0.67,0.114
6974,240,16.134,0.73,0.186
6975,240,15.78,0.608,
6976,240,15.941,0.719,0.152
6978,240,16.149,0.872,0.44
7071,240,14.953,1.001,0.738
7072,240,15.979,0.811,0.397
7077,240,15.777,0.668,0.121
7184,240,15.133,0.947,0.582
7187,240,14.927,0.8,0.263
7188,240,15.546,0.672,0.119
7189,240,15.186,0.917,0.592
7191,240,15.717,0.729,0.167
7192,240,15.629,0.686,0.144
7195,240,15.841,0.706,0.117
7196,240,15.206,0.933,0.613
7198,240,15.555,0.706,0.142
7199,240,16.075,0.723,0.157
7204,240,15.782,0.684,0.166
7290,240,15.975,0.768,
7292,240,15.746,0.514,0.043
7294,240,15.114,0.515,-0.014
7295,240,13.256,0.599,-0.068
7297,240,15.539,0.85,0.417
