logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag
9.6,2.593,0.914,-0.569,,,,9.65,2.644,0.984,-0.491,,,,9.7,2.946,1.398,0.034
9.6,2.594,0.873,-0.626,,,,9.65,2.643,0.939,-0.555,,,,9.7,2.897,1.337,-0.045
9.6,2.59,0.832,-0.682,,,,9.65,2.642,0.9,-0.608,,,,9.7,2.847,1.277,-0.123
9.6,2.591,0.796,-0.734,,,,9.65,2.641,0.863,-0.66,,,,9.7,2.795,1.217,-0.201
9.6,2.591,0.763,-0.781,,,,9.65,2.641,0.825,-0.714,,,,9.7,2.747,1.158,-0.278
9.6,2.587,0.73,-0.825,,,,9.65,2.639,0.795,-0.754,,,,9.7,2.695,1.1,-0.35
9.6,2.588,0.704,-0.864,,,,9.65,2.638,0.766,-0.796,,,,9.7,2.694,1.054,-0.414
9.6,2.587,0.681,-0.896,,,,9.65,2.637,0.739,-0.836,,,,9.7,2.696,1.01,-0.476
9.6,2.584,0.665,-0.918,,,,9.65,2.633,0.719,-0.863,,,,9.7,2.693,0.968,-0.534
9.6,2.587,0.65,-0.942,,,,9.65,2.636,0.704,-0.886,,,,9.7,2.692,0.93,-0.587
9.6,2.587,0.652,-0.941,,,,9.65,2.636,0.704,-0.887,,,,9.7,2.692,0.892,-0.64
9.6,2.587,0.658,-0.934,,,,9.65,2.636,0.709,-0.881,,,,9.7,2.689,0.858,-0.686
9.6,2.587,0.678,-0.908,,,,9.65,2.636,0.727,-0.858,,,,9.7,2.688,0.829,-0.727
9.6,2.586,0.709,-0.868,,,,9.65,2.635,0.758,-0.818,,,,9.7,2.688,0.801,-0.768
9.6,2.586,0.749,-0.814,,,,9.65,2.635,0.796,-0.767,,,,9.7,2.683,0.78,-0.797
9.6,2.584,0.807,-0.736,,,,9.65,2.633,0.855,-0.69,,,,9.7,2.684,0.763,-0.821
9.6,2.585,0.877,-0.646,,,,9.65,2.634,0.92,-0.604,,,,9.7,2.687,0.755,-0.835
9.6,2.587,0.973,-0.523,,,,9.65,2.635,1.015,-0.482,,,,9.7,2.685,0.759,-0.831
9.6,2.59,1.075,-0.393,,,,9.65,2.639,1.114,-0.356,,,,9.7,2.686,0.765,-0.823
9.6,2.593,1.21,-0.223,,,,9.65,2.642,1.247,-0.187,,,,9.7,2.684,0.795,-0.784
