logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag
9.6,2.728,1.824,0.788,,,,9.63,2.76,1.85,0.812,,,,9.66,2.781,1.865,0.823,,,,9.69,2.818,1.892,0.847
9.6,2.726,1.82,0.783,,,,9.63,2.757,1.847,0.809,,,,9.66,2.78,1.863,0.822,,,,9.69,2.815,1.891,0.846
9.6,2.723,1.815,0.777,,,,9.63,2.756,1.846,0.808,,,,9.66,2.78,1.863,0.822,,,,9.69,2.811,1.888,0.844
9.6,2.721,1.809,0.77,,,,9.63,2.756,1.846,0.807,,,,9.66,2.777,1.86,0.818,,,,9.69,2.808,1.886,0.842
9.6,2.719,1.803,0.761,,,,9.63,2.753,1.842,0.803,,,,9.66,2.775,1.855,0.812,,,,9.69,2.805,1.883,0.839
9.6,2.717,1.795,0.752,,,,9.63,2.751,1.838,0.798,,,,9.66,2.773,1.85,0.806,,,,9.69,2.803,1.88,0.836
9.6,2.714,1.787,0.741,,,,9.63,2.749,1.833,0.792,,,,9.66,2.77,1.845,0.799,,,,9.69,2.802,1.88,0.835
9.6,2.712,1.776,0.726,,,,9.63,2.746,1.828,0.786,,,,9.66,2.769,1.838,0.791,,,,9.69,2.8,1.876,0.831
9.6,2.709,1.762,0.707,,,,9.63,2.744,1.822,0.778,,,,9.66,2.767,1.831,0.782,,,,9.69,2.798,1.872,0.826
9.6,2.707,1.748,0.687,,,,9.63,2.742,1.815,0.769,,,,9.66,2.764,1.823,0.77,,,,9.69,2.795,1.867,0.82
9.6,2.704,1.72,0.649,,,,9.63,2.74,1.807,0.758,,,,9.66,2.762,1.813,0.757,,,,9.69,2.793,1.861,0.813
9.6,2.7,1.668,0.576,,,,9.63,2.738,1.796,0.744,,,,9.66,2.76,1.802,0.742,,,,9.69,2.791,1.855,0.805
9.6,2.695,1.611,0.498,,,,9.63,2.736,1.783,0.726,,,,9.66,2.758,1.791,0.727,,,,9.69,2.789,1.848,0.795
9.6,2.691,1.553,0.416,,,,9.63,2.733,1.767,0.704,,,,9.66,2.756,1.759,0.682,,,,9.69,2.787,1.839,0.783
9.6,2.689,1.5,0.343,,,,9.63,2.731,1.741,0.668,,,,9.66,2.752,1.706,0.608,,,,9.69,2.785,1.829,0.77
9.6,2.687,1.447,0.269,,,,9.63,2.727,1.69,0.597,,,,9.66,2.748,1.653,0.535,,,,9.69,2.783,1.821,0.76
9.6,2.686,1.396,0.196,,,,9.63,2.723,1.637,0.523,,,,9.66,2.745,1.601,0.463,,,,9.69,2.782,1.81,0.744
9.6,2.687,1.349,0.13,,,,9.63,2.719,1.584,0.449,,,,9.66,2.744,1.547,0.386,,,,9.69,2.78,1.775,0.696
9.6,2.687,1.343,0.122,,,,9.63,2.717,1.528,0.371,,,,9.66,2.743,1.494,0.312,,,,9.69,2.776,1.721,0.62
9.6,2.687,1.342,0.121,,,,9.63,2.716,1.475,0.296,,,,9.66,2.743,1.444,0.241,,,,9.69,2.772,1.669,0.547
9.6,2.663,1.289,0.04,,,,9.63,2.715,1.425,0.225,,,,9.66,2.745,1.398,0.175,,,,9.69,2.77,1.618,0.476
9.6,2.641,1.245,-0.026,,,,9.63,2.716,1.379,0.16,,,,9.66,2.737,1.379,0.147,,,,9.69,2.77,1.564,0.399
